#
#
#   Lonertzian-smoothed PARTICLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#      Range [Ef+ -:- E_max] = -43.7967  -:-  246.649 MeV
#
#      E_F = -50.9208 MeV
#
#
#    k              E               A(k,E)

0.805283    -32.1567       0.000280545
0.805283    -32.0367       0.000281025
0.805283    -31.9167       0.000281601
0.805283    -31.7967       0.000282278
0.805283    -31.6767       0.00028306
0.805283    -31.5567       0.000283952
0.805283    -31.4367       0.000284959
0.805283    -31.3167       0.000286088
0.805283    -31.1967       0.000287345
0.805283    -31.0767       0.000288736
0.805283    -30.9567       0.00029027
0.805283    -30.8367       0.000291954
0.805283    -30.7167       0.000293797
0.805283    -30.5967       0.000295809
0.805283    -30.4767       0.000298001
0.805283    -30.3567       0.000300383
0.805283    -30.2367       0.00030297
0.805283    -30.1167       0.000305774
0.805283    -29.9967       0.000308811
0.805283    -29.8767       0.000312097
0.805283    -29.7567       0.000315651
0.805283    -29.6367       0.000319493
0.805283    -29.5167       0.000323645
0.805283    -29.3967       0.000328133
0.805283    -29.2767       0.000332983
0.805283    -29.1567       0.000338226
0.805283    -29.0367       0.000343896
0.805283    -28.9167       0.000350031
0.805283    -28.7967       0.000356673
0.805283    -28.6767       0.000363869
0.805283    -28.5567       0.000371673
0.805283    -28.4367       0.000380143
0.805283    -28.3167       0.000389348
0.805283    -28.1967       0.000399363
0.805283    -28.0767       0.000410274
0.805283    -27.9567       0.000422179
0.805283    -27.8367       0.000435189
0.805283    -27.7167       0.00044943
0.805283    -27.5967       0.000465049
0.805283    -27.4767       0.000482209
0.805283    -27.3567       0.000501101
0.805283    -27.2367       0.000521943
0.805283    -27.1167       0.000544987
0.805283    -26.9967       0.00057052
0.805283    -26.8767       0.000598873
0.805283    -26.7567       0.000630429
0.805283    -26.6367       0.000665623
0.805283    -26.5167       0.000704951
0.805283    -26.3967       0.000748974
0.805283    -26.2767       0.00079832
0.805283    -26.1567       0.000853675
0.805283    -26.0367       0.000915773
0.805283    -25.9167       0.000985356
0.805283    -25.7967       0.00106313
0.805283    -25.6767       0.00114964
0.805283    -25.5567       0.00124517
0.805283    -25.4367       0.00134946
0.805283    -25.3167       0.00146149
0.805283    -25.1967       0.00157907
0.805283    -25.0767       0.00169852
0.805283    -24.9567       0.00181449
0.805283    -24.8367       0.00192006
0.805283    -24.7167       0.00200736
0.805283    -24.5967       0.00206884
0.805283    -24.4767       0.00209884
0.805283    -24.3567       0.00209505
0.805283    -24.2367       0.00205914
0.805283    -24.1167       0.00199634
0.805283    -23.9967       0.00191409
0.805283    -23.8767       0.00182047
0.805283    -23.7567       0.00172284
0.805283    -23.6367       0.00162706
0.805283    -23.5167       0.00153733
0.805283    -23.3967       0.00145632
0.805283    -23.2767       0.0013855
0.805283    -23.1567       0.00132551
0.805283    -23.0367       0.00127645
0.805283    -22.9167       0.00123813
0.805283    -22.7967       0.00121026
0.805283    -22.6767       0.00119251
0.805283    -22.5567       0.00118462
0.805283    -22.4367       0.00118645
0.805283    -22.3167       0.001198
0.805283    -21.6167       0.0014773
0.805283    -20.9167       0.00223062
0.805283    -20.2167       0.00326651
0.805283    -19.5167       0.00300059
0.805283    -18.8167       0.00185661
0.805283    -18.1167       0.00112483
0.805283    -17.4167       0.000748304
0.805283    -16.7167       0.000545665
0.805283    -16.0167       0.000428116
0.805283    -15.3167       0.000355863
0.805283    -14.6167       0.000310272
0.805283    -13.9167       0.000282371
0.805283    -13.2167       0.000268336
0.805283    -12.5167       0.000268127
0.805283    -11.8167       0.000286382
0.805283    -11.1167       0.000335893
0.805283    -10.4167       0.000435468
0.805283    -9.71675       0.00053552
0.805283    -9.01675       0.000530322
0.805283    -8.31675       0.000566238
0.805283    -7.61675       0.000693807
0.805283    -6.91675       0.000724256
0.805283    -6.21675       0.000717449
0.805283    -5.51675       0.000762766
0.805283    -4.81675       0.000717851
0.805283    -4.11675       0.000669487
0.805283    -3.41675       0.000545956
0.805283    -2.71675       0.000415495
0.805283    -2.01675       0.000351747
0.805283    -1.31675       0.000309676
0.805283    -0.616747       0.000283883
0.805283    0.0832526       0.000236938
0.805283    0.783253       0.000188387
